# You can find the dataset in the paper titled "NSGAN: A Non-dominated Sorting Optimization-based Generative Adversarial Design Framework for Alloy Discovery." And for your convenience in reviewing, we have pasted the entire contents of the dataset below.
 \,Processing,Ag,Al,B,Be,Bi,Cd,Co,Cr,Cu,Er,Eu,Fe,Ga,Li,Mg,Mn,Ni,Pb,Sc,Si,Sn,Ti,V,Zn,Zr,Elongation (%),Tensile Strength (MPa),Yield Strength (MPa),class
150,Strain Harderned (Hard),0,0.978478478,0,0,0,0,0,0.000500501,0.000500501,0,0,0.003503504,0,0,0.001501502,0.012012012,0,0,0,0.002502503,0,0,0,0.001001001,0,6.05,200,180,5
151,Strain Harderned (Hard),0,0.977988994,0,0,0,0,0,0.0010005,0.00150075,0,0,0.003501751,0,0,0.005002501,0.005502751,0,0,0,0.003001501,0,0.00050025,0,0.002001001,0,2.05,225,195,5
152,Strain Harderned (Hard),0,0.9745,0,0,0,0,0,0.001,0.002,0,0,0.007,0,0,0.008,0.002,0,0,0,0.003,0,0,0,0.0025,0,4,200,,5
153,Strain Harderned (Hard),0,0.974,0,0,0,0,0,0.002,0,0,0,0,0,0,0.013,0.011,0,0,0,0,0,0,0,0,0,7,282.685037,262.000766,5
154,Strain Harderned (Hard),0,0.97225,0,0,0,0,0,0,0.00125,0,0,0.007,0,0,0,0.0125,0,0,0,0.006,0,0,0,0.001,0,4,200,,5
155,Strain Harderned (Hard),0,0.968968969,0,0,0,0,0,0.000750751,0.000750751,0,0,0.002502503,0,0,0.020520521,0.003003003,0,0,0,0.002002002,0,0.000750751,0,0.000750751,0,7,280,240,5
156,Strain Harderned (Hard),0,0.9665,0,0,0,0,0,0.002,0.003,0,0,0.007,0,0,0.005,0.0055,0,0,0,0.006,0,0.001,0,0.004,0,3,215,,5
157,Strain Harderned (Hard),0,0.964,0,0,0,0,0,0.001,0.003,0,0,0.007,0,0,0.004,0.0125,0,0,0,0.006,0,0,0,0.0025,0,4,240,,5
158,Strain Harderned (Hard),0,0.958719039,0,0,0,0,0,0.001501126,0.000500375,0,0,0.002001501,0,0,0.031023267,0.002501876,0,0,0,0.002001501,0,0.000750563,0,0.001000751,0,6,302.5,238,5
159,Strain Harderned (Hard),0,0.9476,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.05,0.0012,0,0,0,0,0,0,0,0,0,,435,405,5
160,Strain Harderned (Hard),0,0.946,0,0,0,0,0,0.001,0,0,0,0,0,0,0.052,0.001,0,0,0,0,0,0,0,0,0,10,434.369691,406.790663,5
161,Strain Harderned (Hard),0,0.945709282,0,0,0,0,0,0.000500375,0.000750563,0,0,0.001751313,0,0,0.045033775,0.003502627,0,0,0,0.001000751,0,0.000500375,0,0.001250938,0,7.5,352.5,264.5,5
162,Strain Harderned (Hard),0,0.9075,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.005,0,0,0.015,0.0625,0,0,0,0,4,220.632224,206.84271,5
163,Strain Harderned (Hard),0,0.998749062,0,0,0,0,0,0,0.000250188,0,0,0,0,0,0,0.000250188,0,0,0,0,0,0.000250188,0,0.000500375,0,3,190.5,180,5
164,Strain Harderned (Hard),0,0.995848547,0,0,0,0,0,0,0.000250088,0,0,0.0020007,0,0,0,0.000250088,0,0,0,0.001250438,0,0.000150053,0.000250088,0,0,3,175,165,5
165,Strain Harderned (Hard),0,0.995,0,0,0,0,0,0,0.0005,0,0,0.0002,0,0,0.0003,0.0003,0,0,0,0.0002,0,0.0002,0.003,0.0003,0,2.5,165.474168,144.789897,5
166,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0.0002,0,0,0.0002,0,0,0,0.0002,0,0,0,0.007,0,0.0002,0,0.0002,0,3,206.84271,165.474168,5
167,Strain Harderned (Hard),0,0.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,3.5,248.211252,220.632224,5
168,Strain Harderned (Hard),0,0.9725,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,4,330.948336,324.053579,5
169,Strain Harderned (Hard),0,0.969484742,0,0,0,0,0,0,0.001250625,0,0,0.003501751,0,0,0.010505253,0.012506253,0,0,0,0.00150075,0,0,0,0.001250625,0,4,320,256,5
170,Strain Harderned (Hard),0,0.967725794,0,0,0,0,0,0.002501876,0.000500375,0,0,0.002001501,0,0,0.025018764,0.000500375,0,0,0,0.001250938,0,0,0,0.000500375,0,5.005,310.5,246,5
171,Strain Harderned (Hard),0,0.958719039,0,0,0,0,0,0.001501126,0.000500375,0,0,0.002001501,0,0,0.031023267,0.002501876,0,0,0,0.002001501,0,0.000750563,0,0.001000751,0,5.005,340,276.5,5
172,Strain Harderned (Hard),0,0.955,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,4,393.001149,372.316878,5
173,Strain Harderned (Hard),0,0.9535,0,0,0,0,0,0,0,0,0,0.003,0,0,0.04,0.0035,0,0,0,0,0,0,0,0,0,,420,395,5
174,Strain Harderned (Hard),0,0.945709282,0,0,0,0,0,0.000500375,0.000750563,0,0,0.001751313,0,0,0.045033775,0.003502627,0,0,0,0.001000751,0,0.000500375,0,0.001250938,0,4,421,393,5
175,Strain Harderned (Hard),0,0.946,0,0,0,0,0,0.001,0,0,0,0,0,0,0.052,0.001,0,0,0,0,0,0,0,0,0,3.5,448.159205,434.369691,5
176,Strain Harderned (Hard),0,0.9991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0,0,0,0,0,15,160,95,5
177,Strain Harderned (Hard),0,0.9385,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0525,0.008,0,0,0,0,0,0,0,0,0,12,372.316878,282.685037,5
178,Strain Harderned (Hard),0,0.92825,0,0,0,0,0,0.00125,0.001,0,0,0.004,0,0,0.051,0.0075,0,0,0,0.0025,0,0.002,0,0.0025,0,12,370,,5
179,Strain Harderned (Hard),0,0.9973,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0015,0,0,0,0,0,0,0,0,0,9,158.579411,144.789897,5
180,Strain Harderned (Hard),0,0.996,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,14,131.000383,110.316112,5
181,Strain Harderned (Hard),0,0.9925,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,0,0,0,0,0,0,0,0,0,18,137.89514,110.316112,5
182,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,12,158.579411,137.89514,5
183,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,12,160,140,5
184,Strain Harderned (Hard),0,0.991,0,0,0,0,0,0,0.001,0,0,0,0,0,0.006,0.002,0,0,0,0,0,0,0,0,0,12,158.579411,137.89514,5
185,Strain Harderned (Hard),0,0.989,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.006,0,0,0,0,0,0,0,0,0,8,180,160,5
186,Strain Harderned (Hard),0,0.987,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.003,0,0,0,0,0,0,0,0,0,10,186.158439,158.579411,5
187,Strain Harderned (Hard),0,0.987,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.003,0,0,0,0,0,0,0,0,0,12,180,160,5
188,Strain Harderned (Hard),0,0.986,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.009,0,0,0,0,0,0,0,0,0,8,179.263682,165.474168,5
189,Strain Harderned (Hard),0,0.986,0,0,0,0,0,0,0.001,0,0,0,0,0,0.01,0.003,0,0,0,0,0,0,0,0,0,12,179.263682,158.579411,5
190,Strain Harderned (Hard),0,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,11,235,170,5
191,Strain Harderned (Hard),0,0.973,0,0,0,0,0,0,0.001,0,0,0,0,0,0.025,0.001,0,0,0,0,0,0,0,0,0,11,234.421738,172.368925,5
192,Strain Harderned (Hard),0,0.964,0,0,0,0,0,0,0.0005,0,0,0,0,0,0.035,0.0005,0,0,0,0,0,0,0,0,0,12,275.79028,199.947953,5
193,Strain Harderned (Hard),0,0.947,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.051,0.0008,0,0,0,0,0,0,0,0,0,,310,165,5
194,Strain Harderned (Hard),0,0.79,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,13,165.474168,144.789897,5
195,Strain Harderned (Hard),0,0.991,0,0,0,0,0,0,0.001,0,0,0,0,0,0.006,0.002,0,0,0,0,0,0,0,0,0,10,186.158439,158.579411,5
196,Strain Harderned (Hard),0,0.987,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.003,0,0,0,0,0,0,0,0,0,12,199.947953,165.474168,5
197,Strain Harderned (Hard),0,0.986,0,0,0,0,0,0,0.001,0,0,0,0,0,0.01,0.003,0,0,0,0,0,0,0,0,0,10,199.947953,165.474168,5
198,Strain Harderned (Hard),0,0.974,0,0,0,0,0,0.002,0,0,0,0,0,0,0.013,0.011,0,0,0,0,0,0,0,0,0,6,282.685037,255.106009,5
199,Strain Harderned (Hard),0,0.996,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,8,158.579411,131.000383,5
200,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,7,195,165,5
201,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,7,193.053196,165.474168,5
202,Strain Harderned (Hard),0,0.987,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.003,0,0,0,0,0,0,0,0,0,6,205,185,5
203,Strain Harderned (Hard),0,0.986,0,0,0,0,0,0,0.001,0,0,0,0,0,0.01,0.003,0,0,0,0,0,0,0,0,0,6,206.84271,186.158439,5
204,Strain Harderned (Hard),0,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,5,285,240,5
205,Strain Harderned (Hard),0,0.973,0,0,0,0,0,0,0.001,0,0,0,0,0,0.025,0.001,0,0,0,0,0,0,0,0,0,5,282.685037,241.316495,5
206,Strain Harderned (Hard),0,0.964,0,0,0,0,0,0,0.0005,0,0,0,0,0,0.035,0.0005,0,0,0,0,0,0,0,0,0,8,317.158822,262.000766,5
207,Strain Harderned (Hard),0,0.9635,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0275,0.008,0,0,0,0,0,0,0,0,0,14,262.000766,179.263682,5
208,Strain Harderned (Hard),0,0.9385,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0525,0.008,0,0,0,0,0,0,0,0,0,18,324.053579,227.526981,5
209,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,11,140,115,5
210,Strain Harderned (Hard),0,0.986,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,9,170,145,5
211,Strain Harderned (Hard),0,0.978,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.012,0,0,0,0,0,0,0,0,0,10,215,170,5
212,Strain Harderned (Hard),0,0.9725,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,12,230,195,5
213,Strain Harderned (Hard),0,0.9725,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,12,230,195,5
214,Strain Harderned (Hard),0,0.971,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.027,0.0008,0,0,0,0,0,0,0,0,0,10,275,205,5
215,Strain Harderned (Hard),0,0.967725794,0,0,0,0,0,0.002501876,0.000500375,0,0,0.002001501,0,0,0.025018764,0.000500375,0,0,0,0.001250938,0,0,0,0.000500375,0,8,225.5,162,5
216,Strain Harderned (Hard),0,0.9625,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,15,270,205,5
217,Strain Harderned (Hard),0,0.9625,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,15,270,205,5
218,Strain Harderned (Hard),0,0.958197747,0,0,0,0,0,0.001251564,0.000500626,0,0,0.002002503,0,0,0.027033792,0.007509387,0,0,0,0.001251564,0,0.001001252,0,0.001251564,0,8.5,261,175.5,5
219,Strain Harderned (Hard),0,0.9545,0,0,0,0,0,0.001,0,0,0,0,0,0,0.04,0.0045,0,0,0,0,0,0,0,0,0,12,289.579794,206.84271,5
220,Strain Harderned (Hard),0,0.954,0,0,0,0,0,0.0015,0,0,0,0,0,0,0.04,0.0045,0,0,0,0,0,0,0,0,0,15.9,312.7,215.4,5
221,Strain Harderned (Hard),0,0.954,0,0,0,0,0,0.0015,0,0,0,0,0,0,0.04,0.0045,0,0,0,0,0,0,0,0,0,15.9,312.7,215.4,5
222,Strain Harderned (Hard),0,0.954,0,0,0,0,0,0.0015,0,0,0,0,0,0,0.04,0.0045,0,0,0,0,0,0,0,0,0,12,290,205,5
223,Strain Harderned (Hard),0,0.946946947,0,0,0,0,0,0.001501502,0.000500501,0,0,0.002502503,0,0,0.04004004,0.004504505,0,0,0,0.002002002,0,0.000750751,0,0.001251251,0,9,290.5,193,5
224,Strain Harderned (Hard),0,0.9475,0,0,0,0,0,0.0015,0,0,0,0,0,0,0.044,0.007,0,0,0,0,0,0,0,0,0,,315,230,5
225,Strain Harderned (Hard),0,0.947,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.051,0.0008,0,0,0,0,0,0,0,0,0,,350,255,5
226,Strain Harderned (Hard),0,0.9465,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0445,0.008,0,0,0,0,0,0,0,0,0,16,317.158822,227.526981,5
227,Strain Harderned (Hard),0,0.940470235,0,0,0,0,0,0.00150075,0.00050025,0,0,0.002001001,0,0,0.044522261,0.007003502,0,0,0,0.002001001,0,0.000750375,0,0.001250625,0,12.95,300,207,5
228,Strain Harderned (Hard),0,0.9385,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0525,0.008,0,0,0,0,0,0,0,0,0,16,351.632607,255.106009,5
229,Strain Harderned (Hard),0,0.934233558,0,0,0,0,0,0.001250313,0.000500125,0,0,0.0020005,0,0,0.051012753,0.007501875,0,0,0,0.001250313,0,0.00100025,0,0.001250313,0,12.95,300,210.5,5
230,Strain Harderned (Hard),0,0.9465,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0445,0.008,0,0,0,0,0,0,0,0,0,10,324.053579,248.211252,5
231,Strain Harderned (Hard),0,0.940470235,0,0,0,0,0,0.00150075,0.00050025,0,0,0.002001001,0,0,0.044522261,0.007003502,0,0,0,0.002001001,0,0.000750375,0,0.001250625,0,9,326.5,246.5,5
232,Strain Harderned (Hard),0,0.9385,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0525,0.008,0,0,0,0,0,0,0,0,0,10,351.632607,262.000766,5
233,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,8,158.579411,137.89514,5
234,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,8,160,140,5
235,Strain Harderned (Hard),0,0.986,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,8,190,165,5
236,Strain Harderned (Hard),0,0.986,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,8,193.053196,165.474168,5
237,Strain Harderned (Hard),0,0.978,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.012,0,0,0,0,0,0,0,0,0,9,241.316495,199.947953,5
238,Strain Harderned (Hard),0,0.978,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.012,0,0,0,0,0,0,0,0,0,9,240,200,5
239,Strain Harderned (Hard),0,0.9725,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,10,262.000766,213.737467,5
240,Strain Harderned (Hard),0,0.9725,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,10,260,215,5
241,Strain Harderned (Hard),0,0.9725,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,10,260,215,5
242,Strain Harderned (Hard),0,0.971,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.027,0.0008,0,0,0,0,0,0,0,0,0,10,305,240,5
243,Strain Harderned (Hard),0,0.969484742,0,0,0,0,0,0,0.001250625,0,0,0.003501751,0,0,0.010505253,0.012506253,0,0,0,0.00150075,0,0,0,0.001250625,0,8.8,216,186,5
244,Strain Harderned (Hard),0,0.967725794,0,0,0,0,0,0.002501876,0.000500375,0,0,0.002001501,0,0,0.025018764,0.000500375,0,0,0,0.001250938,0,0,0,0.000500375,0,6.5,246.5,181,5
245,Strain Harderned (Hard),0,0.9635,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0275,0.008,0,0,0,0,0,0,0,0,0,10,303.369308,241.316495,5
246,Strain Harderned (Hard),0,0.9625,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,13,289.579794,227.526981,5
247,Strain Harderned (Hard),0,0.9625,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,13,290,230,5
248,Strain Harderned (Hard),0,0.9625,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,13,290,230,5
249,Strain Harderned (Hard),0,0.958197747,0,0,0,0,0,0.001251564,0.000500626,0,0,0.002002503,0,0,0.027033792,0.007509387,0,0,0,0.001251564,0,0.001001252,0,0.001251564,0,7,283,203,5
250,Strain Harderned (Hard),0,0.9545,0,0,0,0,0,0.001,0,0,0,0,0,0,0.04,0.0045,0,0,0,0,0,0,0,0,0,10,324.053579,255.106009,5
251,Strain Harderned (Hard),0,0.954,0,0,0,0,0,0.0015,0,0,0,0,0,0,0.04,0.0045,0,0,0,0,0,0,0,0,0,10,325,255,5
252,Strain Harderned (Hard),0,0.95225,0,0,0,0,0,0.00125,0.001,0,0,0.004,0,0,0.027,0.0075,0,0,0,0.0025,0,0.002,0,0.0025,0,10,305,,5
253,Strain Harderned (Hard),0,0.946946947,0,0,0,0,0,0.001501502,0.000500501,0,0,0.002502503,0,0,0.04004004,0.004504505,0,0,0,0.002002002,0,0.000750751,0,0.001251251,0,7,319,240,5
254,Strain Harderned (Hard),0,0.945709282,0,0,0,0,0,0.000500375,0.000750563,0,0,0.001751313,0,0,0.045033775,0.003502627,0,0,0,0.001000751,0,0.000500375,0,0.001250938,0,10.025,338,283,5
255,Strain Harderned (Hard),0,0.94,0,0,0,0,0,0.0015,0.001,0,0,0.005,0,0,0.04,0.0045,0,0,0,0.004,0,0.0015,0,0.0025,0,10,325,,5
256,Strain Harderned (Hard),0,0.9465,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0445,0.008,0,0,0,0,0,0,0,0,0,8,358.527364,282.685037,5
257,Strain Harderned (Hard),0,0.940470235,0,0,0,0,0,0.00150075,0.00050025,0,0,0.002001001,0,0,0.044522261,0.007003502,0,0,0,0.002001001,0,0.000750375,0,0.001250625,0,7,363,283,5
258,Strain Harderned (Hard),0,0.9385,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0525,0.008,0,0,0,0,0,0,0,0,0,8,386.106392,296.474551,5
259,Strain Harderned (Hard),0,0.934,0,0,0,0,0,0.0015,0.001,0,0,0.004,0,0,0.0445,0.007,0,0,0,0.004,0,0.0015,0,0.0025,0,8,360,,5
260,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,6,180,165,5
261,Strain Harderned (Hard),0,0.986,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,7,205,180,5
262,Strain Harderned (Hard),0,0.978,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.012,0,0,0,0,0,0,0,0,0,5,260,230,5
263,Strain Harderned (Hard),0,0.9725,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,8,275,240,5
264,Strain Harderned (Hard),0,0.9725,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,8,275,240,5
265,Strain Harderned (Hard),0,0.969484742,0,0,0,0,0,0,0.001250625,0,0,0.003501751,0,0,0.010505253,0.012506253,0,0,0,0.00150075,0,0,0,0.001250625,0,6.5,230.5,230.5,5
266,Strain Harderned (Hard),0,0.967725794,0,0,0,0,0,0.002501876,0.000500375,0,0,0.002001501,0,0,0.025018764,0.000500375,0,0,0,0.001250938,0,0,0,0.000500375,0,3,268.5,210.5,5
267,Strain Harderned (Hard),0,0.9625,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,12,310,250,5
268,Strain Harderned (Hard),0,0.9625,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,12,310,250,5
269,Strain Harderned (Hard),0,0.946946947,0,0,0,0,0,0.001501502,0.000500501,0,0,0.002502503,0,0,0.04004004,0.004504505,0,0,0,0.002002002,0,0.000750751,0,0.001251251,0,4.5,341,268.5,5
270,Strain Harderned (Hard),0,0.996,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,8,158.579411,131.000383,5
271,Strain Harderned (Hard),0,0.9925,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,0,0,0,0,0,0,0,0,0,12,172.368925,158.579411,5
272,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,5,200,185,5
273,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,5,199.947953,186.158439,5
274,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,7,195,165,5
275,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,7,193.053196,165.474168,5
276,Strain Harderned (Hard),0,0.991,0,0,0,0,0,0,0.001,0,0,0,0,0,0.006,0.002,0,0,0,0,0,0,0,0,0,7,193.053196,165.474168,5
277,Strain Harderned (Hard),0,0.987,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.003,0,0,0,0,0,0,0,0,0,6,205,185,5
278,Strain Harderned (Hard),0,0.987,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.003,0,0,0,0,0,0,0,0,0,6,220.632224,206.84271,5
279,Strain Harderned (Hard),0,0.986,0,0,0,0,0,0,0.001,0,0,0,0,0,0.01,0.003,0,0,0,0,0,0,0,0,0,6,206.84271,186.158439,5
280,Strain Harderned (Hard),0,0.986,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,6,220.632224,199.947953,5
281,Strain Harderned (Hard),0,0.986,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,6,220,200,5
282,Strain Harderned (Hard),0,0.978,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.012,0,0,0,0,0,0,0,0,0,5,282.685037,248.211252,5
283,Strain Harderned (Hard),0,0.978,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.012,0,0,0,0,0,0,0,0,0,5,285,250,5
284,Strain Harderned (Hard),0,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,5,285,240,5
285,Strain Harderned (Hard),0,0.9745,0,0,0,0,0,0.001,0.002,0,0,0.007,0,0,0.008,0.002,0,0,0,0.003,0,0,0,0.0025,0,5,200,,5
286,Strain Harderned (Hard),0,0.973,0,0,0,0,0,0,0.001,0,0,0,0,0,0.025,0.001,0,0,0,0,0,0,0,0,0,5,282.685037,241.316495,5
287,Strain Harderned (Hard),0,0.9725,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,7,290,255,5
288,Strain Harderned (Hard),0,0.9725,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,7,290,255,5
289,Strain Harderned (Hard),0,0.9725,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,7,289.579794,255.106009,5
290,Strain Harderned (Hard),0,0.969484742,0,0,0,0,0,0,0.001250625,0,0,0.003501751,0,0,0.010505253,0.012506253,0,0,0,0.00150075,0,0,0,0.001250625,0,4.8,261,250.5,5
291,Strain Harderned (Hard),0,0.968,0,0,0,0,0,0.001,0.002,0,0,0.007,0,0,0.0145,0.001,0,0,0,0.004,0,0,0,0.0025,0,6,220,,5
292,Strain Harderned (Hard),0,0.967725794,0,0,0,0,0,0.002501876,0.000500375,0,0,0.002001501,0,0,0.025018764,0.000500375,0,0,0,0.001250938,0,0,0,0.000500375,0,3,283,232.5,5
293,Strain Harderned (Hard),0,0.964,0,0,0,0,0,0,0.0005,0,0,0,0,0,0.035,0.0005,0,0,0,0,0,0,0,0,0,7,317.158822,268.895523,5
294,Strain Harderned (Hard),0,0.963,0,0,0,0,0,0.0025,0.001,0,0,0.004,0,0,0.025,0.001,0,0,0,0.0025,0,0,0,0.001,0,7,270,,5
295,Strain Harderned (Hard),0,0.9625,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,10,330.948336,268.895523,5
296,Strain Harderned (Hard),0,0.9625,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,10,330,270,5
297,Strain Harderned (Hard),0,0.9625,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,10,330,270,5
298,Strain Harderned (Hard),0,0.962,0,0,0,0,0,0,0.0025,0,0,0.007,0,0,0.0105,0.0125,0,0,0,0.003,0,0,0,0.0025,0,5,280,,5
299,Strain Harderned (Hard),0,0.9476,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.05,0.0012,0,0,0,0,0,0,0,0,0,,415,345,5
300,Strain Harderned (Hard),0,0.946946947,0,0,0,0,0,0.001501502,0.000500501,0,0,0.002502503,0,0,0.04004004,0.004504505,0,0,0,0.002002002,0,0.000750751,0,0.001251251,0,3.245,363,298,5
301,Strain Harderned (Hard),0,0.946,0,0,0,0,0,0.001,0,0,0,0,0,0,0.052,0.001,0,0,0,0,0,0,0,0,0,15,413.68542,344.73785,5
302,Solutionised  + Artificially peak aged,0,0.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,,,165,2
303,Solutionised  + Artificially peak aged,0,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,,166,132,2
304,Solutionised  + Artificially peak aged,0,0.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,,319,298,2
305,Solutionised  + Artificially peak aged,0,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.005,0,0,0,0,0,0,,401,376,2
